147,107,367,425,234,225,335,241,294,292,230,342,309,355
145,104,366,423,230,223,332,241,288,293,225,340,305,354
143,104,363,422,226,223,328,241,283,292,221,339,301,353
140,102,361,422,222,223,326,241,280,291,217,338,299,352
138,101,360,422,219,223,324,241,278,291,213,337,297,352
136,100,359,423,218,222,321,240,274,290,210,337,294,352
135,98,358,422,215,221,319,240,270,290,207,336,291,352
135,98,356,422,213,221,317,240,267,289,205,336,290,351
134,98,356,422,211,220,316,239,264,289,202,335,289,351
133,98,356,420,210,220,315,239,263,289,201,335,287,351
133,98,356,420,210,220,315,240,263,289,200,335,287,351
132,98,356,421,211,221,316,240,264,290,201,335,288,351
134,98,357,423,213,221,317,241,267,291,203,336,290,352
135,98,359,422,215,222,321,242,271,293,206,336,293,352
136,100,362,423,218,223,325,242,276,294,210,338,297,354
138,101,363,424,221,223,327,242,279,294,214,340,299,355
140,101,365,426,224,223,329,242,283,294,218,341,301,356
141,101,366,427,226,223,331,242,285,292,221,342,302,357
142,101,367,427,227,222,332,241,286,290,222,340,304,356
142,101,367,426,228,221,332,241,287,289,222,339,304,356
143,101,368,424,229,221,332,241,287,289,222,338,303,355
143,101,368,423,229,221,332,241,286,289,222,338,302,354
143,101,368,423,229,221,332,241,286,290,221,338,302,355
143,102,369,424,228,222,332,242,285,292,221,339,302,355
142,103,369,425,227,224,333,244,286,293,221,340,302,357
143,104,369,426,227,225,333,245,286,295,222,343,303,359
144,106,370,427,227,226,333,246,286,295,222,343,304,359
145,107,370,429,227,226,333,245,286,294,222,343,304,359
146,106,369,428,227,224,333,244,286,292,223,342,304,358
146,103,369,426,228,222,333,241,286,289,224,340,305,356
146,101,369,424,228,220,333,238,286,285,223,337,305,352
147,98,368,420,228,217,333,235,286,282,223,333,306,348
147,97,367,417,227,215,333,232,286,280,223,332,306,346
147,96,367,414,227,214,332,230,285,279,223,331,306,344
147,95,367,414,227,213,332,229,285,277,223,330,305,343
147,95,367,414,226,213,331,229,283,277,222,330,304,344
146,96,366,415,225,214,330,230,282,277,221,331,303,344
